Damage,Model
16,divinecraft:item/tin_ingot
17,divinecraft:item/copper_ingot
18,divinecraft:item/bronze_ingot
19,divinecraft:item/titanium_ingot
20,divinecraft:item/gidrit_dust
21,divinecraft:item/palladium_ingot
22,divinecraft:item/tourmaline_crystal
23,divinecraft:item/unnamed_ore
32,divinecraft:item/teleporter_linker
33,divinecraft:item/item_sucker_linker
64,divinecraft:item/gidora_paw
65,divinecraft:item/gidora_muzzle
66,divinecraft:item/gidora_compost
67,divinecraft:item/gidora_brisket
68,divinecraft:item/gidora_bud
69,divinecraft:item/jackal_head
70,divinecraft:item/jarvis_code
71,divinecraft:item/gadzilla_liver
96,divinecraft:item/microchip
128,divinecraft:menu/roman_1_symbol
129,divinecraft:menu/roman_2_symbol
130,divinecraft:menu/roman_3_symbol
131,divinecraft:menu/roman_4_symbol
132,divinecraft:menu/roman_5_symbol
133,divinecraft:menu/roman_2_symbol_red
134,divinecraft:menu/roman_3_symbol_red
135,divinecraft:menu/roman_4_symbol_red
136,divinecraft:menu/roman_5_symbol_red
